Arabic_Names,English_Names
أسامة روحي,Osama is my soul
ولاء فريد,Unique loyalty
سهير عبدالله,Suheir Abdullah
سعاد أبو الفتوح,Suad Abul Fotouh
هند أبي اللمع,Hind Abi Lama
عبدالمجيد مجذوب,Abdul Majid Majzoub
كمال اللحام,Kamal Al-Lahham
علي عبدالعزيز,Ali Abdul Aziz
سميرة خوري,Samira Khoury
أسماء خوري,Asma Khoury
مجد القصص,The glory of stories
إلسي فرنيني,Elsey Fernini
مصطفى الشامي,Mostafa El Shami
نيللي فؤاد,Nelly Fouad
محمد السيسي,Mohammed Al Sisi
ليلى مختار,Leila Mokhtar
فوزية هاشم,Fawzia Hashim
محمود عباس,Mahmoud Abbas
حبيبة محمود,Habiba Mahmoud
محمد جلال,Mohammed Jalal
عادل سرور ,Adel Sorour
سحر حمدي,Sahar Hamdi
نادية منيب,Nadia Munib
نبيلة عزت,Nabila Ezzat
ماجدة الرومي,Majida Al Roumi
أحمد محرز,Ahmed Mehrez
أمين الموجى,Amin Al-Moji
إبراهيم سكر,Ibrahim Sugar
إبراهيم صبحى,Ibrahim Sobhy
أمير صادق,Prince Sadek
ليلى حسين,Laila Hussein
رضا العشماوي,Reza Ashmawi
فؤاد عفيفى,Fouad Afifi
حسن سيف الدين,Hassan Saifuddin
شعبان حسين,Shaaban Hussein
بوعالم بنانى,Buamal Banani
رحاب بوشاتل,Rehab Bushatel
عزيز ديجا,Aziz Deja
فريدة حناتيش,Farida Hanatish
شاو,Shao
ميليا فؤاد,Melia Fouad
أميره إبراهيم,Amr Ibrahim
قمر مرتضى,Moon Mortada
هالة حسني,Hala Hosny
عبدالحي عزب,Abdul Azeeb
ليلى الإسكندرانية,Lily of Alexandria
تامر المصري,Tamer El Masry
هناء صبري,Hana Sabri
راوية أباظة,Rawia Abaza
عبد المنعم النمر,Abdel Moneim El Nemer
مريم الحسيني,Maryam Al Husseini
محسن محيي الدين,Mohsen Mohieddin
سهير عبدالراضي,Suheir Abd al-Razi
وائل سهم,Wael Shareem
مها جمال,Maha Jamal
محمود سهم (عمرو سهم),Mahmoud Shareem (Amr Share)
محمد عبدالواحد,Mohammed Abdul Wahid
اميرة عفيفى,Amira Afifi
أحمد البدري,Ahmed Al-Badri
مسعد شفيق,Mosaad Shafiq
توتي,Totti
خالد علي  بحيري,Khaled Ali Bahiri
ميرفت شهاب,Mervat Shehab
علي أحمد سالم,Ali Ahmed Salem
محمود سعيد,Mahmoud Said
حسن الجندي ,Good soldier
حبيب العجيلي,Habib Al Ajili
عبدالفتاح الوسيع,Abdul Fattah al-Waseeh
الطيب الصديقي,Tayeb Siddiqui
مارتن بنسن,Martin Benson
رونالد لي هنت,Ronald Lee Hunt
ريمون جبارة,Raymond Jabara
محمد الساحلي,Mohamed El Sahely
منير شماعة,Mounir Shamaa
داميان توماس,Damien Thomas
عبدالله العمراني,Abdullah Al - Omrani
عمران المدنيني,Imran Al Madenini
سالم قدارة,Salem Qadara
شعبان القبلاوي,Shaaban al-Kablawi
محمد مفتاح,Mohammed Muftah
عيسى عبدالحفيظ,Issa Abdelhafeez
محمد مجد,Mohamed Majd
المحجوب الراجي,Mahjoub Raji
حسن الصقلي,Hassan al-Saqli
حسين عبدالفتاح,Hussein Abdel Fattah
نادية ذو الفقار,Nadia Zulfikar
فكري أباظة,Think Abaza
عنايات صالح,A&#39;nayat Saleh
هادية ,Hadia
فايزة,Fayza
عفاف راضي,Afaf Radi
باسيل بطاح,Basil Boutah
تامي قلاله,Tami Calala
سامية محمود,Samia Mahmoud
نعمت المصري,Nemat El Masry
بهاء سمعان,Bahaa Simon
محمد الكبي,Mohammed al-Kobe
عباس الحاوي,Abbas Al-Hawi
هدى شعراوي,Hoda Shaarawi
سليم كلاس,Slim Class
بيرج فازليان,Berg Vazlian
اسماء فريد,The names of Farid
عادل كريبة,Adel Keriba
أمير كدواني,Amir Kedwani
سمير كمال,Samir Kamal
عماد عرابي,Emad Orabi
محمد عبده,Mohamed Abdu
يسرا,Yusra
محمد الشويحي,Mohammed Al-Shuwahei
منى أيوب,Mona Ayoub
فاطمة التابعي,Fatima al-Tabi
رأفت عبدالله,Raafat Abdullah
نادية شمس الدين,Nadia Shams El Din
سامية,Semitic
سماح,Grace
الهامي رفيع,My father is tall
فاروق الفيشاوي,Farouk Al - Fishawi
أميمة سليم,Omayma Saleem
سيد مصطفى,Sayed Mustafa
شكري منصور,Shukri Mansour
يحيى كامل,Yahya Kamel
مصطفى تونسي,Mustafa Tounsi
راوية سعيد,Rawia Saeed
شريهان,Shreihan
هابي جميل,Happy
سعيد عبدالله,Saeed Abdullah
منال فاروق,Manal Farouk
شريف صلاح الدين,Sharif Saladin
مديحة إبراهيم,Madiha Ibrahim
ليلى علوي,Leila Alawi
هند جمال,Hind Jamal
رمضان عبدالغني,Ramadan Abdul Ghani
محسن زكريا,Mohsen Zakaria
ليلى ندا,Laila Nada
أسامة منيب,Osama Mounib
لمياء علوي,Lamia Alavi
ناهد سماحة,Nahed Samaha
وليد توفيق,Waleed Tawfiq
نبيلة كرم,Nabila Karam
أحمد رافع,Ahmed Rafie
حسن بغدادي,Hassan Baghdadi
عماد اليافي,Emad Al-Yafi
رجاء يشي,Please feel
ظفيرة قطان,Cumin flower
ناديا رستم,Nadia Rustam
مصطفى علوش,Mostafa Alloush
ناديا باسم,Nadia Bassem
عبدالحميد عزت,Abdul Hamid Ezzat
ممدوح بسيونى,Mamdouh Bassiouni
سحر النشار,Magic of the Shawl
بلقيس,Balqees
صبرى رسلان,Sabri Raslan
محمد نعيم,Muhammad Naeem
إبراهيم زاغو,Ibrahim Zagho
ميشيل جاب الله,Michelle Gaballah
بلقيس شريعة,Bilqis is Sharia
إيناس الدغيدي,Einas Aldaghedi
نهى بركات,Noha Barakat
فاطمة عيد,Fatima Eid
عبير عبدالرحمن,Abeer Abdulrahman
نورا محمود,Noura Mahmoud
أنور بن عيسى,Anwar bin Issa
سامية رحيم,Samia Rahim
كارولين,Caroline
خالد أبو النجا,Khaled Abou El Naga
حسن كامي,Hassan Kami
نجاح الموجي,Waveform success
أحمد راتب,Ahmed Rateb
عبدالمنعم المرصفي,Abdul Moneim Al-Marsafi
يسريه الجواهرجي,The guitarist is playing
حسين عبدالوهاب,Hussein Abdel Wahab
حسين الشريف,Hussein al-Sharif
امال الحجار,Amal al-Hajjar
عصام محمود,Essam Mahmoud
محمود الجندي,Mahmoud El Gendy
دليلة,Dalila
ياسر صلاح,Yasser Salah
سعيد رضوان,Said Radwan
عبدالله إسماعيل,Abdullah Ismail
صلاح عطا,Salah Atta
يحيى الفخراني,Yahya Al Fakharani
هاني عبدالعظيم,Hani Abdel Azim
ليزا ماي,Lisa May
حسن فهمى,Hassan Fahmy
رياض يزبك,Riad Yazbek
نعيمة سميح,Naima Sameeh
عبدالهادي بلخياط,Abdulhadi Belkhayat
عبدو ياغي,Abdo Yaghi
رامونا كرم,Ramona Karam
زيناردي حبيس,Zinardi is locked up
فكتور زايد,Victor Zayed
فؤاد خليفة,Fouad Khalifa
عفاف داغر,Afaf Dagher
محمد أبو الصواب,Mohamed Abou El Sawab
زين زيناردي,Zain Zainardi
وفاء عبدالحليم,Wafa Abdel Halim
عباس النوري,Abbas Nouri
اسامة بغدادي,Osama Baghdadi
أحمد مللي,Ahmed Melli
طوني موسى,Tony Mousa
حمدي ديب,Hamdi Dib
عدنان عجلوني,Adnan Ajlouni
سعيد عبدالسلام,Said Abdel Salam
فؤاد مسعود,Fouad Massoud
بثينة عبدالنبي,Buthaina Abdulnabi
أميرة عبدالرحمن,Amira Abdel Rahman
سلوى صادق,Salwa Sadeq
أحمد ماهر,Ahmed Maher
عزت الأمير,The Prince
ميشيل نجم,Michelle Star
نبيل نور الدين,Nabil Nour El Din
فتحي صقر,Fathi Saqr
ايمان,Faith
أبو السعود عطية,Facebook Facebook logo Keep me logged in
دولت سلامة,Dollette safety
مدحت غالي,Medhat Ghali
نجلاء رمزي,Najla Ramzi
عبداللطيف محمد,Abdul Latif Mohammed
منال السبعاوي,Manal al-Sabawi
إلهام شاهين,Elham Shaheen
سامح الصريطي,Sameh Al-Saraiti
سوسن بدر,Sawsan Badr
كمال المعاز,Kamal El Maaz
حامد ونيس,Hamid and Nice
أدوارد نجيب,Edward Naguib
هاني حسن,Hani Hassan
سيد عبدالباسط,Sayed Abdel Basset
حمدي شرف الدين,Hamdi Sharaf El Din
حاتم ذو الفقار,Hatem Zulfikar
خالد حمزة,Khaled Hamza
شوقي شامخ,Shawky Shamich
أحمد حافظ,Ahmed Hafez
عبدالرحيم أبو خطوة,Abdul Rahim Abu Step
سهير طه حسين,Suheir Taha Hussein
سامي كامل,Sami Kamel
سيد عبيد,Sayed Obeid
عهدي صادق,My covenant with Sadiq
أحمد عقل,Ahmed Akl
وفاء عبدالقادر,Wafa Abdul Qader
محمد التاجي,Mohammed Taji
 كارين بلاك,Karen Black
رأفت راجي,Raafat Raji
كريم عبدالعزيز,Karim Abdulaziz
بن براهيم,Ben Ibrahim
أحمد الطاهر,Ahmed Eltaher
يحيى الشاذلي,Yahya Al - Shazly
سليمان صقر,Download
نادين خوري (نادين حمصي),Nadine Khoury (Nadine Homsi)
جميل إسحاق,Lovely Isaac
غالب حمود,Ghaleb Hammoud
حازم شكرى,Hazem Shokry
جرير منصور,Jarir Mansour
على مجاهد,On Mujahid
طارق هاشم,Tarek Hashem
محمود طوسون,Mahmoud Toson
لطفي منصور,Lotfi Mansour
نبيل فؤاد,Nabil Fouad
عصمت فوزي,Ismat Fawzi
عطيات السيد,Atiat
راتب محجوب,Mahjoub Salary
عبدالفتاح السيد,Abdel Fattah El Sayed
فاديا خطاب,Fadia Khattab
عدنان موسى,Adnan Mousa
سلمان أبو عمار,Salman Abu Ammar
منى عبدالعال,Mona Abdel Aal
ابراهيم شيشول,Ibrahim Shishoul
حسان السالم,Hassan Al Salem
عمر الشيخ بكري,Omar Sheikh Bakri
إميل سعادة,Emile Saada
تيسير السعدي,Tayseer Al-Saadi
ايمان زركلي,Iman Zarkali
نبيل خزام,Nabil Khuzam
يولاند أسمر,Yoland Asmar
ناديا نصري,Nadia Nasri
محمد فرحات,Mohammed Farhat
محمد الأدنداني,Mohammed Al-Adandani
كمال عبدالعزيز,Kamal Abdul Aziz
سعاد شاهين,Soad Shaheen
محمد بليق,Mohamed Blake
صلاح رشوان,Salah Rashwan
نهى,Noha
بولين,Pauline
علي قاعود,Ali Kaoud
كاتي الباشا,Katie the Pasha
صبري عبدالمنعم,Sabri Abdel Moneim
ليليان,Lillian
فيفيان صلاح الدين,Vivian Salah Eddin
يس إسماعيل يس,Yassin Ismail Yassin
عصام كامل,Essam Kamel
سمير حافظ,Samir Hafez
سهيلة فرحات,Suhailah Farhat
معتز يحيى,Moataz Yahya
فؤاد أحمد,Fouad Ahmed
قدرية عبدالقادر,Kadriya Abdelkader
عمر عز الدين,Omar Ezz El Din
محمد نسيم,Mohamed Nasim
ناصر اباظة,Nasser Abaza
انسي عابدين,Ansi Abdeen
مجدي إمام,Magdy Imam
كتكوت الأمير,Chick Prince
أحمد سامي غنيم,Ahmed Sami Ghoneim
تيسير فهمي,Tayseer Fahmy
اخلاص حسني,S homepage!
جاك ميللر,Jack Miller
ايف بينو,Yves Pino
جان ماري,Jean-Marie
كلود سيرنيه,Claude Cernet
نرجس عطية,Nargis Attieh
عبداللطيف بن جدو,Abdullatif Ben Gedo
حطاب الديب,Hattab Aldib
نجوى حسن,Najwa Hassan
شعبان طه,Shaaban Taha
فوزى ابراهيم ,Fawzy Ibrahim
صلاح الصغير,Salah Al Saghir
ابراهيم ابو سعده,Ibrahim Abou Saada
عصمت نعمان,Ismat Noman
صلاح صادق,Salah Sadek
محمود مسعود,Mahmoud Massoud
سلوى خطاب,Salwa Khattab
أرتميس تسارمي,Artemis Tsarmi
كوستا ديمتريوس,Costa Demetrius
نيكوس كارالامبوس,Nikos Karalambos
أفتيوس بولايدس,Avtios Pulides
أندريا موسوليوتيس,Andrea Mussoliotis
ستافروس لوراس,Stavros Loras
جورج جورجيو,George Giorgio
مارغريت ديمتريوس,Margaret Demetrius
عمرو محرم,Amr Muharram
ميرفت الجندي,Mervat El Gendy
إبراهيم حلمي,Ibrahim Helmy
أنجى سليم,Anji Salim
نبوية السيد,Prophet Muhammad
هنري بركات,Henry Barakat
سمير الملا,Samir Al Mulla
سمير حجاج,Samir Hajjaj
حنان,Tenderness
محمد سيد,Mohammad Sayed
عماد عاطف ,Emad Atef
وائل عمران,Wael Omran
أحمد حسينة,Ahmed Hasina
الشريف خاطر,Sharif Khater
رقية أحمد,Rokaya Ahmed
عزت البرشومي,Izzat al-Barshoumi
مصطفى حشيش,Mustafa Hashish
علي الحجار,Ali Al-Hajjar
عبدالرحمن محمد,Abdulrahman Mohammed
سمير رامي,Samir Rami
محمد السكري,Mohammed al-Sukari
شوشو سلامه,Shosho Salamah
فاطمة لطفي,Fatima Lotfi
ابراهيم الكحلاوي,Ibrahim Al-Kahlawi
يسري مصطفى,Yousry Mustafa
محمد أبو الحسن,Mohamed Abou El Hassan
محمد رسلان,Mohammed Raslan
سميرة سعيد,Samira Saeed
تحية حافظ,Greetings kept
شوشو امين,Shosho Amin
آثار الحكيم,Effects of Hakim
جميل الطرابلسي,Beautiful Trabelsi
جون رودنبرج,John Rodenberg
روز ماري ثابت,Rose Marie Thabet
عبدالله محمود,Abdullah Mahmoud
مجدي سيف,Magdy Seif
بهير بدر,Bahir Badr
فارت فهرام,Farhat Fahram
أميرة شريف,Amira Sharif
إيمان الجميل,Iman Gemayel
حمدي الوزير,Hamdi Al Wazir
محمد هنيدي,Mohamed Henedy
عادل برهام,Adel Barham
حسين محمود,Hussein Mahmoud
منيرفا,Monerva
الريس متقال,Al Rayes resigned
أحمد دياب,Ahmed Diab
ميرفت الشناوي,Mervat El Shennawy
أحمد رشدى,Ahmed Roshdy
عماد رشاد,Emad Rashad
عزت بدران,Izzat Badran
سمية محمود,Samia Mahmoud
شفيق الشايب,Shafiq Shayeb
رشوان سعيد,Rashwan Saeed
عبدالله مشرف,Abdullah Musharraf
رجائي توفيق,Rajai Tawfiq
فيصل عزب,Faisal Azab
معتصم محمد,Mu&#39;tasim Mohammed
قاسم شحاته,Qassem Shehata
سيد الحلواني,Mr Halwani
سمير فهمي,Samir Fahmy
